team1;agg_score;team2;home_game;away_game;team1_xg1;team2_xg1;team1_xg2;team2_xg2;stadium1;stadium2
AC Milan;0–3;Inter Milan;0–2;0–1;0.9;2;0.5;1;San Siro;San Siro
Real Madrid;1–5;Manchester City;1–1;0–4;0.7;0.5;0.5;2.8;Santiago Bernabeu;Etihad 
