'Player';'Nationality';'Pos';'Club';'Age';'Born';'MP';'Starts';'Min';'90s';'Goals';'Assists';'G+A';'CrdYellow';'CrdRed';'xG';'xAG';;''Age'';''Born'';''MP'';''Starts'';''Min'';''90s'';''Goals'';''Assists'';''G+A'';''CrdYellow'';''CrdRed'';''xG'';''xAG''
'Mykhailo Mudryk';'UKR';'MF';'Shakhtar';21;2001;6;6;516;5.7;3;2;5;2;0;1.1;0.7;;''Mykhailo Mudryk'';''UKR'';''MF'';''Shakhtar'';;;;;;;;;
'Paul Mukairu';'NGA';'FW';'FC Copenhagen';22;2000;3;0;44;0.5;0;0;0;0;0;0.3;0;;''Paul Mukairu'';''NGA'';''FW'';''FC Copenhagen'';;;;;;;;;
'Nordi Mukiele';'FRA';'DF,MF';'Paris S-G';24;1997;4;1;111;1.2;0;0;0;0;0;0;0;;''Nordi Mukiele'';''FRA'';''DF,MF'';''Paris S-G'';;;;;;;;;
'Thomas Muller';'GER';'MF,FW';'Bayern Munich';32;1989;8;4;367;4.1;1;1;2;0;0;1.3;0.3;;''Thomas Muller'';''GER'';''MF,FW'';''Bayern Munich'';;;;;;;;;
'Petar Musa';'CRO';'FW';'Benfica';24;1998;5;0;129;1.4;2;0;2;1;0;0.5;0.1;;''Petar Musa'';''CRO'';''FW'';''Benfica'';;;;;;;;;
'Jamal Musiala';'GER';'MF,FW';'Bayern Munich';19;2003;9;7;528;5.9;0;2;2;0;0;1.5;1.9;;''Jamal Musiala'';''GER'';''MF,FW'';''Bayern Munich'';;;;;;;;;
'Bohdan Mykhaylychenko';'UKR';'DF';'Shakhtar';25;1997;4;4;360;4;0;2;2;1;0;0.1;0.3;;''Bohdan Mykhaylychenko'';''UKR'';''DF'';''Shakhtar'';;;;;;;;;
'Obite N'Dicka';'FRA';'DF';'Eint Frankfurt';22;1999;8;8;720;8;0;1;1;2;0;0.1;0.1;;''Obite N'Dicka'';''FRA'';''DF'';''Eint Frankfurt'';;;;;;;;;
'Nacho';'ESP';'DF';'Real Madrid';32;1990;8;4;440;4.9;0;0;0;0;0;0;0.1;;''Nacho'';''ESP'';''DF'';''Real Madrid'';;;;;;;;;
'Jesus Navas';'ESP';'DF,MF';'Sevilla';36;1985;3;3;224;2.5;0;0;0;0;0;0;0.1;;''Jesus Navas'';''ESP'';''DF,MF'';''Sevilla'';;;;;;;;;
'Flavio Nazinho';'POR';'DF,MF';'Sporting CP';19;2003;3;0;120;1.3;0;0;0;0;0;0.4;0;;''Flavio Nazinho'';''POR'';''DF,MF'';''Sporting CP'';;;;;;;;;
'Tanguy Ndombele';'FRA';'MF';'Napoli';25;1996;9;3;373;4.1;1;1;2;0;0;0.9;1.4;;''Tanguy Ndombele'';''FRA'';''MF'';''Napoli'';;;;;;;;;
'David Neres';'BRA';'FW,MF';'Benfica';25;1997;9;4;444;4.9;3;1;4;2;0;1.9;1.2;;''David Neres'';''BRA'';''FW,MF'';''Benfica'';;;;;;;;;
